strut_id,label,r_eq_med_um,r_eq_min_um,r_eq_cv,offset_max_vox,tilt_deg,bow_vox,aspect_med,empty_sections,gap_len,gap_interior,border_frac,iou,reachable,detour,geo_len_vox,span_vox
114,nominal,372.91714,314.92810,0.08081,1.01839,0.57297,0.31602,1.35762,0.00000,0.00000,0.00000,0.00000,0.64252,1.00000,0.99872,55.15433,55.22502
115,thick,492.50287,367.08997,0.32472,1.60717,2.67918,0.31784,1.41580,0.00000,0.00000,0.00000,0.24000,0.47336,1.00000,0.99341,55.15433,55.52045
116,nominal,342.79205,280.52975,0.05688,1.24864,0.45002,0.18638,1.30719,0.00000,0.00000,0.00000,0.00000,0.57617,1.00000,0.99542,55.15433,55.40794
117,nominal,306.25073,284.34665,0.03968,1.43198,0.59769,0.24777,1.10279,0.00000,0.00000,0.00000,0.00000,0.54802,1.00000,0.99259,55.15433,55.56631
118,nominal,318.33282,291.83075,0.03938,0.72288,0.59459,0.20920,1.17227,0.00000,0.00000,0.00000,0.00000,0.68038,1.00000,0.99341,55.15433,55.52045
119,thick,512.87610,355.14886,0.39601,2.31272,2.02884,0.31019,1.31023,0.00000,0.00000,0.00000,0.40000,0.46559,1.00000,0.99259,55.15433,55.56631
120,thick,1011.46448,968.44977,0.01303,0.69827,nan,nan,1.02138,0.00000,0.00000,0.00000,1.00000,0.37170,1.00000,0.99542,55.15433,55.40794
121,thick,967.89313,919.92480,0.02591,1.36807,nan,nan,1.10928,0.00000,0.00000,0.00000,1.00000,0.36614,1.00000,0.99549,55.15433,55.40422
122,thick,1017.83929,1017.83929,0.00000,0.02505,nan,nan,1.00000,0.00000,0.00000,0.00000,1.00000,0.36698,1.00000,1.01347,56.15433,55.40794
123,thick,1017.83929,1017.83929,0.00000,0.02505,nan,nan,1.00000,0.00000,0.00000,0.00000,1.00000,0.37221,1.00000,1.01354,56.15433,55.40422
124,thick,547.44427,368.55542,0.21441,2.67490,1.59572,0.36116,1.52262,0.00000,0.00000,0.00000,0.24000,0.39040,1.00000,1.01058,56.15433,55.56631
125,thick,529.42468,391.25662,0.42508,1.48783,2.89483,0.25008,1.18200,0.00000,0.00000,0.00000,0.40000,0.43761,1.00000,0.99341,55.15433,55.52045
126,nominal,336.44351,262.66821,0.07689,1.02119,0.39426,0.18382,1.10112,0.00000,0.00000,0.00000,0.00000,0.62463,1.00000,0.99259,55.15433,55.56631
127,nominal,331.60236,306.25073,0.05083,0.63447,1.33703,0.19635,1.21128,0.00000,0.00000,0.00000,0.00000,0.75263,1.00000,1.01142,56.15433,55.52045
128,thick,574.35211,457.31808,0.12653,2.74000,0.35574,0.25814,1.41807,0.00000,0.00000,0.00000,0.24000,0.44836,1.00000,0.99634,55.15433,55.35720
129,thick,534.49109,419.19037,0.19526,2.51557,2.60227,0.50739,1.21081,0.00000,0.00000,0.00000,0.24000,0.47783,1.00000,0.99872,55.15433,55.22502
130,nominal,345.92264,326.68945,0.03603,3.03853,4.42347,0.44016,1.53504,0.00000,0.00000,0.00000,0.00000,0.55882,1.00000,0.99872,55.15433,55.22502
131,nominal,380.07553,325.03531,0.06445,1.31359,0.57138,0.29091,1.39138,0.00000,0.00000,0.00000,0.00000,0.61100,1.00000,0.99634,55.15433,55.35720
132,nominal,398.08533,365.61865,0.04077,1.84624,1.40765,0.32061,1.59487,0.00000,0.00000,0.00000,0.00000,0.60443,1.00000,0.99634,55.15433,55.35720
133,thick,620.37122,451.38632,0.25491,2.78418,8.96032,0.36392,1.15969,0.00000,0.00000,0.00000,0.52000,0.44607,1.00000,1.00448,55.47217,55.22502
134,nominal,334.83755,270.75220,0.06405,2.02421,0.55109,0.27202,1.38925,0.00000,0.00000,0.00000,0.00000,0.46456,1.00000,0.99542,55.15433,55.40794
135,nominal,333.22388,282.44467,0.06661,2.60953,1.21045,0.43695,1.26276,0.00000,0.00000,0.00000,0.00000,0.42739,1.00000,1.01354,56.15433,55.40422
136,thick,677.67633,497.94504,0.22093,2.19184,0.40678,0.16735,1.18365,0.00000,0.00000,0.00000,0.52000,0.39086,1.00000,0.99634,55.15433,55.35720
137,nominal,309.75085,284.34665,0.04876,1.23619,0.62683,0.25502,1.15746,0.00000,0.00000,0.00000,0.00000,0.59544,1.00000,1.01354,56.15433,55.40422
138,nominal,389.87650,347.47736,0.06637,2.21624,2.37608,0.43788,1.42261,0.00000,0.00000,0.00000,0.00000,0.61001,1.00000,1.00448,55.47217,55.22502
139,thick,495.77539,400.78427,0.32965,1.64281,3.72822,0.16415,1.54072,0.00000,0.00000,0.00000,0.36000,0.46881,1.00000,0.99341,55.15433,55.52045
140,nominal,338.04181,291.83075,0.04563,1.09700,0.33361,0.18076,1.25129,0.00000,0.00000,0.00000,0.00000,0.62755,1.00000,0.99542,55.15433,55.40794
141,nominal,306.25073,282.44467,0.05054,2.73586,1.73200,0.36401,1.11695,0.00000,0.00000,0.00000,0.00000,0.41295,1.00000,1.01058,56.15433,55.56631
142,nominal,347.47736,313.21188,0.05331,1.93960,1.14507,0.30057,1.29307,0.00000,0.00000,0.00000,0.00000,0.52692,1.00000,0.99341,55.15433,55.52045
143,thick,602.74341,396.72900,0.32426,2.20352,2.66747,0.16291,1.33081,0.00000,0.00000,0.00000,0.44000,0.46370,1.00000,1.01058,56.15433,55.56631
144,thick,1017.30963,1001.28790,0.00397,0.23516,nan,nan,1.00157,0.00000,0.00000,0.00000,1.00000,0.38100,1.00000,0.99542,55.15433,55.40794
145,thick,938.48761,870.55292,0.03964,2.04343,nan,nan,1.15297,0.00000,0.00000,0.00000,1.00000,0.37680,1.00000,1.01354,56.15433,55.40422
146,thick,1017.83929,1017.83929,0.00000,0.02505,nan,nan,1.00000,0.00000,0.00000,0.00000,1.00000,0.36939,1.00000,0.99542,55.15433,55.40794
147,thick,1017.83929,1007.19208,0.00227,0.16769,nan,nan,1.00000,0.00000,0.00000,0.00000,1.00000,0.36139,1.00000,1.01354,56.15433,55.40422
148,thick,549.40997,382.90140,0.24349,2.58596,0.76833,0.18386,1.54127,0.00000,0.00000,0.00000,0.48000,0.44598,1.00000,0.99259,55.15433,55.56631
149,thick,537.50793,406.12827,0.38990,2.14771,3.02939,0.20796,1.27408,0.00000,0.00000,0.00000,0.48000,0.44757,1.00000,1.01142,56.15433,55.52045
150,nominal,333.22388,314.92810,0.03675,0.89550,0.23095,0.19750,1.11728,0.00000,0.00000,0.00000,0.00000,0.66243,1.00000,1.01058,56.15433,55.56631
151,nominal,334.83755,313.21188,0.05447,0.58327,0.23366,0.25182,1.18230,0.00000,0.00000,0.00000,0.00000,0.75020,1.00000,0.99341,55.15433,55.52045
152,thick,518.10431,431.85760,0.15673,2.77299,0.30104,0.27664,1.27743,0.00000,0.00000,0.00000,0.36000,0.47606,1.00000,0.99634,55.15433,55.35720
153,thick,549.40997,421.75427,0.21710,2.09639,1.74336,0.37009,1.27723,0.00000,0.00000,0.00000,0.20000,0.46667,1.00000,1.00448,55.47217,55.22502
154,nominal,370.01505,304.48560,0.07840,1.02871,0.88818,0.39413,1.48042,0.00000,0.00000,0.00000,0.00000,0.64428,1.00000,0.99872,55.15433,55.22502
155,nominal,368.55542,333.22388,0.05026,2.05491,0.72341,0.44323,1.46896,0.00000,0.00000,0.00000,0.00000,0.55767,1.00000,1.02014,56.47217,55.35720
