strut_id,label,r_eq_med_um,measurable
1097,nominal,344.3,1
1098,nominal,362.6,1
1099,nominal,408.7,1
1100,thick,791.9,0
1101,thick,922.6,0
1102,thick,888.7,0
1103,thick,811.4,0
1104,nominal,339.5,1
1105,nominal,355.0,1
1106,nominal,348.9,1
1107,nominal,336.3,1
1108,thick,475.7,1
1109,thick,446.5,1
1110,nominal,396.6,1
1111,nominal,430.5,1
1112,nominal,426.7,1
1113,nominal,431.7,1
1114,nominal,389.8,1
1115,nominal,348.9,1
1116,thick,494.5,1
1117,nominal,299.0,1
1118,nominal,416.5,1
1119,nominal,426.7,1
1120,nominal,369.9,1
1121,nominal,381.4,1
1122,nominal,364.0,1
1123,nominal,420.3,1
1124,thick,966.5,0
1125,thick,1017.5,0
1126,thick,1007.4,0
1127,thick,969.3,0
1128,nominal,417.8,1
1129,nominal,412.6,1
1130,nominal,367.0,1
1131,nominal,364.0,1
1132,thick,549.2,0
1133,thick,534.3,0
1134,nominal,431.7,1
1135,thick,444.0,1
1136,thick,448.9,1
1137,thick,494.5,0
1138,nominal,361.1,1
1139,nominal,304.4,1
1140,thick,528.2,0
1141,nominal,291.7,1
1142,nominal,392.5,1
1143,thick,476.8,0
1144,nominal,359.6,1
1145,nominal,385.6,1
1146,nominal,385.6,1
1147,thick,447.7,1
1148,thick,1017.5,0
1149,thick,1017.5,0
1150,thick,1017.5,0
1151,thick,1017.5,0
1152,thick,460.7,0
1153,thick,448.9,1
1154,nominal,367.0,1
1155,nominal,374.2,1
1156,thick,559.0,0
1157,thick,589.9,0
1158,thick,451.3,1
1159,nominal,415.2,1
1160,nominal,431.7,1
1161,thick,532.3,0
1162,nominal,364.0,1
1163,nominal,313.1,1
1164,thick,545.3,0
1165,nominal,300.8,1
1166,thick,453.6,1
1167,thick,452.4,0
1168,nominal,375.7,1
1169,nominal,369.9,1
1170,nominal,358.1,1
1171,thick,445.2,0
1172,thick,1017.5,0
1173,thick,1017.5,0
1174,thick,1017.5,0
1175,thick,1017.5,0
1176,thick,466.5,0
1177,thick,472.3,0
1178,nominal,345.8,1
