strut_id,label,r_eq_med_um,measurable
727,thick,493.6,0
728,nominal,320.0,1
729,nominal,331.6,1
730,nominal,362.7,1
731,thick,478.1,0
732,thick,1017.8,0
733,thick,1017.8,0
734,thick,1017.8,0
735,thick,1017.8,0
736,thick,601.8,0
737,thick,513.9,0
738,nominal,352.1,1
739,nominal,355.1,1
740,thick,762.3,0
741,thick,750.2,0
742,nominal,396.7,1
743,nominal,434.3,1
744,thick,446.6,1
745,thick,668.1,0
746,nominal,328.3,1
747,nominal,344.4,1
748,thick,779.8,0
749,nominal,338.0,1
750,nominal,412.7,1
751,thick,609.9,0
752,nominal,308.0,1
753,nominal,316.6,1
754,nominal,328.3,1
755,thick,584.6,0
756,thick,1017.8,0
757,thick,1017.8,0
758,thick,1017.8,0
759,thick,1017.8,0
760,thick,745.1,0
761,thick,589.2,0
762,nominal,342.8,1
763,nominal,341.2,1
764,thick,782.5,0
765,thick,794.8,0
766,nominal,396.7,1
767,nominal,417.9,1
768,thick,446.6,1
769,thick,737.8,0
770,nominal,338.0,1
771,nominal,326.7,1
772,thick,775.6,0
773,nominal,309.8,1
774,nominal,416.6,1
775,thick,720.8,0
776,nominal,330.0,1
777,nominal,325.0,1
778,nominal,355.1,1
779,thick,672.1,0
780,thick,1017.8,0
781,thick,1017.8,0
782,thick,1017.8,0
783,thick,1017.8,0
784,thick,710.3,0
785,thick,717.1,0
786,nominal,333.2,1
787,nominal,350.6,1
788,thick,802.9,0
789,thick,842.9,0
790,nominal,388.5,1
791,nominal,428.1,1
792,nominal,372.9,1
793,thick,725.3,0
794,nominal,323.4,1
795,nominal,291.8,1
796,thick,732.7,0
797,nominal,297.3,1
798,nominal,406.1,1
799,thick,703.4,0
800,nominal,320.0,1
801,nominal,331.6,1
802,nominal,333.2,1
803,thick,656.7,0
804,thick,1017.8,0
805,thick,1017.8,0
806,thick,1017.8,0
807,thick,1017.8,0
808,thick,732.0,0
809,thick,689.5,0
810,nominal,339.6,1
811,nominal,345.9,1
812,thick,775.6,0
813,thick,720.8,0
814,nominal,342.8,1
815,nominal,431.9,1
816,thick,441.7,1
817,thick,785.9,0
818,nominal,318.3,1
819,nominal,297.3,1
820,thick,753.7,0
821,nominal,300.9,1
822,nominal,414.0,1
823,thick,729.8,0
824,nominal,325.0,1
825,nominal,344.4,1
826,nominal,338.0,1
827,thick,657.5,0
828,thick,1017.8,0
829,thick,1017.8,0
830,thick,1017.8,0
831,thick,1017.8,0
832,thick,682.4,0
833,thick,635.8,0
834,nominal,356.7,1
835,nominal,358.2,1
836,thick,776.3,0
837,thick,624.7,0
838,nominal,361.2,1
839,nominal,433.1,1
840,nominal,407.5,1
841,thick,737.1,0
842,nominal,333.2,1
843,nominal,311.5,1
844,thick,521.2,0
845,nominal,314.9,1
846,nominal,336.4,0
847,thick,604.5,0
848,nominal,320.0,1
849,nominal,341.2,1
850,nominal,352.1,1
851,thick,480.3,0
852,thick,1017.8,0
853,thick,893.8,0
854,thick,972.3,0
855,thick,1017.8,0
856,nominal,433.1,0
857,thick,466.7,0
858,nominal,330.0,1
859,nominal,338.0,1
860,nominal,365.6,0
861,nominal,388.5,0
862,nominal,313.2,0
863,nominal,304.5,0
